N,P,K,temperature,humidity,ph,Annual Rainfall,Recommended Crop
46,18,40,19.68703,82,5.6,1479,Rice
46,18,40,20.055391,88,6,1670,Rice
46,18,40,20.076288,88,6,1670,Rice
69,27,59,20.294844,56,6.3,1995,Rice
24,9.156,42,20.49621,88,5,1118,Coffee
46,18,100,20.301874,88,5.9,1670,Rice
46,18,40,20.140156,82,6.2,1479,Rice
69,27,40,19.775118,67,5.5,1476,Rice
27,27.468,41,21.040937,67,6.3,1014,Pigeonpeas
46,18,40,20.415743,68,6.1,1670,Rice
60,9.156,40,20.04582,88,6,1025,Pigeonpeas
46,18,40,19.685663,72,5.6,1476,Rice
69,27,51,20.776484,72,5.8,1476,Rice
27,9.156,41,21.096407,76,6.3,1014,Pigeonpeas
69,27,40,20.098164,82,5.7,1476,Rice
69,27,40,19.690742,56,6.3,1476,Rice
0,9.156,40,19.819063,68,6,1104,Coffee
46,18,40,20.609491,67,5.4,1476,Rice
69,27,40,20.429804,68,6.1,1476,Rice
60,9.156,40,19.652657,56,6,1104,Coffee
46,18,40,19.687813,77,5.6,1479,Rice
0,9.156,40,19.824335,68,6,1025,Pigeonpeas
46,18,40,20.145039,72,6.2,1479,Rice
69,27,40,20.015547,88,6,1476,Rice
46,18,55,20.321796,82,6.2,1479,Rice
69,27,40,19.690937,82,5.6,1670,Rice
46,18,40,19.742304,68,6.1,1670,Rice
46,18,100,19.937616,77,5,1476,Rice
46,18,51,19.961641,72,5,1476,Rice
14,9.156,40,19.487226,72,7,1104,Coffee
69,27,40,20.15578,60,5.7,1670,Rice
27,9.156,41,21.061445,88,6.3,996,Pigeonpeas
0,9.156,40,19.803047,63,6,1104,Coffee
46,18,51,20.18371,56,5.9,1670,Rice
69,27,40,20.456953,63,6.1,1670,Rice
69,27,40,20.901875,77,5,1600,Rice
46,18,51,20.30578,88,5.9,1476,Rice
46,18,50,19.887617,49,5.8,1476,Rice
46,18,40,20.594257,76,5.4,1670,Rice
69,27,40,20.269062,49,5.3,1922,Rice
69,27,50,20.803633,49,5.4,1476,Rice
46,18,54,20.327852,77,6.2,1479,Rice
60,9.156,40,19.664179,52,6.3,1104,Coffee
46,18,40,20.15578,67,5.6,1476,Rice
46,18,40,20.947382,82,5,1900,Rice
46,18,40,20.177265,77,6.3,1670,Rice
60,9.156,59,19.470234,82,6,1025,Pigeonpeas
69,27,40,20.477852,68,6.1,1476,Rice
24,27.468,41,21.114765,52,6.2,996,Pigeonpeas
60,9.156,40,20.001484,52,6,1104,Coffee
69,27,60,20.29582,56,6.3,1476,Rice
46,18,51,19.911837,56,6.2,1479,Rice
90,42,43,20.87974371,82.00274423,6.502985292,2435.226434,Rice
85,58,41,21.77046169,80.31964408,7.038096361,2719.866449,Rice
60,55,44,23.00445915,82.3207629,7.840207144,3167.570971,Rice
74,35,40,26.49109635,80.15836264,6.980400905,2914.36841,Rice
78,42,42,20.13017482,81.60487287,7.628472891,3152.608086,Rice
69,37,42,23.05804872,83.37011772,7.073453503,3012.659998,Rice
69,55,38,22.70883798,82.63941394,5.70080568,3255.898325,Rice
94,53,40,20.27774362,82.89408619,5.718627178,2903.690339,Rice
89,54,38,24.51588066,83.5352163,6.685346424,2765.354831,Rice
68,58,38,23.22397386,83.03322691,6.336253525,2654.51035,Rice
91,53,40,26.52723513,81.41753846,5.386167788,3175.378436,Rice
90,46,42,23.97898217,81.45061596,7.50283396,3000.998803,Rice
78,58,44,26.80079604,80.88684822,5.108681786,3413.23748,Rice
93,56,36,24.01497622,82.05687182,6.98435366,2223.328067,Rice
94,50,37,25.66585205,80.66385045,6.94801983,2515.04365,Rice
60,48,39,24.28209415,80.30025587,7.042299069,2773.036016,Rice
85,38,41,21.58711777,82.7883708,6.249050656,3319.862951,Rice
91,35,39,23.79391957,80.41817957,6.970859754,2475.134226,Rice
77,38,36,21.8652524,80.1923008,5.953933276,2694.660203,Rice
88,35,40,23.57943626,83.58760316,5.85393208,3495.583942,Rice
89,45,36,21.32504158,80.47476396,6.442475375,2225.969678,Rice
76,40,43,25.15745531,83.11713476,5.070175667,2776.611796,Rice
67,59,41,21.94766735,80.97384195,6.012632591,2560.273105,Rice
83,41,43,21.0525355,82.67839517,6.254028451,2797.290979,Rice
98,47,37,23.48381344,81.33265073,7.375482851,2688.697397,Rice
66,53,41,25.0756354,80.52389148,7.778915154,3084.046638,Rice
97,59,43,26.35927159,84.04403589,6.286500176,3256.303364,Rice
97,50,41,24.52922681,80.54498576,7.070959995,3123.160831,Rice
60,49,44,20.77576147,84.49774397,6.244841491,2880.972776,Rice
84,51,35,22.30157427,80.64416466,6.043304899,2375.749458,Rice
73,57,41,21.44653958,84.94375962,5.824709117,3266.420645,Rice
92,35,40,22.17931888,80.33127223,6.357389366,2401.059344,Rice
85,37,39,24.52783742,82.73685569,6.364134968,2696.108677,Rice
98,53,38,20.26707606,81.63895217,5.01450727,3245.300729,Rice
88,54,44,25.7354293,83.88266234,6.149410611,2797.585646,Rice
95,55,42,26.79533926,82.1480873,5.950660556,2320.168784,Rice
99,57,35,26.75754171,81.17734011,5.960370061,3267.598867,Rice
95,39,36,23.86330467,83.15250801,5.561398642,3422.992374,Rice
60,43,44,21.01944696,82.95221726,7.416245107,3580.822165,Rice
63,44,41,24.17298839,83.7287574,5.583370042,3084.412265,Rice
62,42,36,22.78133816,82.06719137,6.430010215,2984.619874,Rice
64,45,43,25.62980105,83.52842314,5.534878156,2518.802372,Rice
83,60,36,25.59704938,80.14509262,6.903985986,2410.018776,Rice
82,40,40,23.83067496,84.81360127,6.271478838,3582.72141,Rice
85,52,45,26.31355498,82.36698992,7.224285503,3186.427124,Rice
91,35,38,24.8972823,80.52586088,6.13428721,2204.151848,Rice
76,49,42,24.958779,84.47963372,5.206373153,2363.47201,Rice
74,39,38,23.24113501,84.59201843,7.782051313,2796.544146,Rice
79,43,39,21.66628296,80.70960551,7.062779015,2529.770504,Rice
88,55,45,24.63544858,80.41363018,7.730367824,3044.643337,Rice
60,36,43,23.43121862,83.06310136,5.286203711,2638.858019,Rice
76,60,39,20.0454142,80.3477562,6.766240045,2502.972186,Rice
93,56,42,23.85724032,82.22572988,7.382762603,2341.137973,Rice
65,60,43,21.97199397,81.89918197,5.658169482,2728.364411,Rice
95,52,36,26.22916897,83.83625819,5.543360238,3438.10047,Rice
75,38,39,23.44676801,84.79352417,6.215109715,3407.206159,Rice
74,54,38,25.65553461,83.47021081,7.120272972,2608.5463,Rice
91,36,45,24.44345477,82.45432595,5.950647577,3215.714338,Rice
71,46,40,20.2801937,82.1235421,7.236705436,2303.442886,Rice
99,55,35,21.7238313,80.2389895,6.501697816,3335.55143,Rice
72,40,38,20.41447029,82.20802629,7.592490617,2941.813565,Rice
83,58,45,25.75528612,83.51827127,5.875345751,2947.952159,Rice
93,58,38,20.61521424,83.77345559,6.932400225,3354.54206,Rice
70,36,42,21.84106875,80.72886384,6.946209881,2428.605983,Rice
76,47,42,20.08369642,83.29114712,5.739175027,3163.646611,Rice
99,41,36,24.45802087,82.74835604,6.738652179,2190.739583,Rice
99,54,37,21.14347496,80.33502926,5.594819626,2384.07713,Rice
86,59,35,25.78720567,82.11124033,6.946636369,2922.144497,Rice
69,46,41,23.64124821,80.28597873,5.012139669,3157.323965,Rice
91,56,37,23.43191632,80.56887849,6.363472208,3234.046994,Rice
61,52,41,24.97669518,83.891805,6.880431223,2457.602216,Rice
67,45,38,22.72791041,82.1706881,7.300410836,3130.650067,Rice
79,42,37,24.87300744,82.84022551,6.587918708,3547.31339,Rice
78,43,42,21.32376327,83.00320459,7.283736617,2307.837043,Rice
75,54,36,26.29465461,84.56919326,7.023936392,3089.897887,Rice
97,36,45,22.2286982,81.85872947,6.939083505,3336.950152,Rice
67,47,44,26.73072391,81.78596776,7.868474653,3364.85327,Rice
73,35,38,24.88921174,81.97927117,5.005306977,2231.353715,Rice
77,36,37,26.88444878,81.46033732,6.136131869,2334.919871,Rice
81,41,38,22.67846116,83.72874389,7.524080076,2410.959787,Rice
68,57,43,26.08867875,80.37979919,5.706943251,2194.852205,Rice
72,45,35,25.42977518,82.94682591,5.758506323,2344.28945,Rice
61,53,43,26.40323239,81.05635517,6.349606327,2680.40626,Rice
67,43,39,26.04371967,84.96907151,5.999969026,2241.044128,Rice
67,58,39,25.2827223,80.54372813,5.453592032,2641.38805,Rice
66,60,38,22.08576562,83.47038318,6.372576327,2780.837948,Rice
82,43,38,23.28617173,81.43321641,5.105588355,2907.804755,Rice
84,50,44,25.48591986,81.40633547,5.935344406,2191.859227,Rice
81,53,42,23.67575393,81.03569343,5.17782304,2804.44197,Rice
91,50,40,20.82477109,84.1341879,6.462391607,2762.690668,Rice
93,53,38,26.92995077,81.91411159,7.069172227,3488.15254,Rice
90,44,38,23.83509503,83.88387074,7.473134377,2894.416216,Rice
81,45,35,26.52872817,80.12267476,6.158376967,2626.99628,Rice
78,40,38,26.46428311,83.85642678,7.549873681,2978.707789,Rice
60,51,36,22.69657794,82.81088865,6.028321558,3083.957713,Rice
88,46,42,22.68319059,83.46358271,6.604993475,2331.182063,Rice
93,47,37,21.53346343,82.14004101,6.500343222,3551.098555,Rice
60,55,45,21.40865769,83.3293191,5.935745417,3450.920322,Rice
78,35,44,26.54348085,84.67353597,7.072655622,2203.467188,Rice
65,37,40,23.35905428,83.59512273,5.333322606,2260.96398,Rice
40,72,77,17.02498456,16.98861173,7.485996067,1062.614777,Chickpea
23,72,84,19.02061277,17.13159126,6.920251378,959.1237697,Chickpea
39,58,85,17.88776475,15.40589717,5.996932037,822.5919503,Chickpea
22,72,85,18.86805647,15.65809214,6.391173589,1062.125878,Chickpea
36,67,77,18.36952567,19.56381041,7.152811172,951.1629198,Chickpea
32,73,81,20.45078582,15.40312102,5.988992796,1112.204844,Chickpea
58,70,84,20.6543203,16.60820843,6.231049028,895.9573416,Chickpea
59,70,84,17.3348681,18.74926979,7.550808267,991.4081665,Chickpea
42,62,75,18.17912258,18.90426935,7.010570541,982.1997035,Chickpea
28,74,81,18.01272266,18.30968112,8.753795334,983.8282549,Chickpea
58,66,79,20.99373558,19.33470387,8.718192847,1122.633613,Chickpea
43,66,79,19.46233971,15.22538951,7.976607593,895.0278116,Chickpea
58,63,81,19.81344531,14.69765308,6.515499549,947.5817651,Chickpea
23,62,85,18.97424756,19.5161216,8.490127142,968.530494,Chickpea
27,62,77,18.19737048,14.71070537,6.576415562,842.1822217,Chickpea
28,72,84,18.72963144,19.18197264,6.481783043,858.9612203,Chickpea
50,56,76,20.99502153,19.8601304,7.966605025,882.0880823,Chickpea
39,71,84,20.28155898,16.39535215,8.140825437,990.2807586,Chickpea
25,78,76,17.48042641,15.7559405,7.228963452,803.6376697,Chickpea
31,70,77,20.88818675,14.32313811,6.492546046,1085.5474,Chickpea
26,80,83,17.08498521,16.14565756,7.528599957,855.7208704,Chickpea
25,68,77,20.09340593,15.11279612,7.701446446,1028.988588,Chickpea
31,78,76,17.57212145,14.99927489,8.519975748,1071.72608,Chickpea
60,68,83,19.12065218,18.43475844,6.620900869,1026.35402,Chickpea
59,62,83,18.57665902,19.22008229,8.104396058,875.3928529,Chickpea
22,67,78,17.16606398,14.42457525,6.204090835,867.9201019,Chickpea
36,65,80,18.2872007,16.67921616,6.051091339,898.4934689,Chickpea
59,60,84,19.03025305,18.66725565,7.690962338,1136.519044,Chickpea
54,77,85,17.1418614,17.0662427,7.829211144,1004.952801,Chickpea
43,68,81,17.47809436,17.93253975,6.761599706,947.0472281,Chickpea
28,76,82,20.56601874,14.25803981,6.654425315,1005.112456,Chickpea
42,79,85,17.22385224,15.82069268,6.129533877,918.9097145,Chickpea
32,60,83,19.69141713,19.44225438,8.829273328,1101.128598,Chickpea
22,78,76,17.84851658,19.09172907,8.621662982,915.8964856,Chickpea
31,79,75,18.8202251,16.1074793,8.204862075,1076.774328,Chickpea
28,58,81,17.47500984,16.54314829,6.18042747,1120.204111,Chickpea
57,58,77,18.72649425,17.58406365,7.978996755,974.4211818,Chickpea
49,55,78,18.65580107,16.17772668,7.863113671,980.4923156,Chickpea
46,76,77,18.2356751,19.68538502,6.967843048,1004.985521,Chickpea
54,61,77,18.81198127,15.21618225,6.206582193,930.5153088,Chickpea
38,60,76,18.65054116,17.80852431,8.868741443,935.1358418,Chickpea
59,55,79,20.36720401,16.89574311,8.766128654,987.0546924,Chickpea
36,76,75,18.38120357,16.63805158,8.736337905,846.2468036,Chickpea
57,68,81,17.17012591,17.30457712,8.081095263,873.4349068,Chickpea
35,66,81,19.37101121,15.77458129,6.138243973,1022.978382,Chickpea
35,64,78,17.92845928,14.27327988,7.496645259,1024.485452,Chickpea
52,60,79,19.45339934,18.23490739,8.380185271,907.5810792,Chickpea
27,76,83,19.12829388,14.92241479,6.289614016,1075.422939,Chickpea
57,60,84,19.1034283,17.26184541,6.586777189,905.89214,Chickpea
52,68,78,17.48504075,16.96070581,6.89655198,1032.609364,Chickpea
43,79,79,19.40751744,18.98030507,7.806747656,963.0077564,Chickpea
44,74,85,20.18649426,19.63719995,7.150681303,939.1247471,Chickpea
24,55,78,17.30287885,15.15405941,6.64919573,906.9348461,Chickpea
29,77,75,17.50361137,15.48083156,7.778591618,875.3360052,Chickpea
20,60,78,18.17234999,14.70085967,6.358740355,1089.312848,Chickpea
56,67,78,17.57445618,16.71826572,8.255450758,933.8269709,Chickpea
37,66,85,20.93175255,18.91295403,6.456148474,936.8292954,Chickpea
49,71,76,19.71098332,17.63879418,6.613072145,1026.951052,Chickpea
59,69,80,19.07937684,17.86754927,8.165359297,832.8742964,Chickpea
20,79,77,18.54988627,16.02542689,7.64867466,915.9078299,Chickpea
24,56,85,18.19903647,17.41333199,6.545888558,967.6864836,Chickpea
51,72,75,18.88852533,14.99451145,7.104224797,961.3360608,Chickpea
57,73,85,18.49311205,14.72115044,7.358099622,1103.351442,Chickpea
22,64,82,19.48974337,17.17260319,6.4740245,1050.157536,Chickpea
52,73,79,17.25769499,18.74943955,7.840339389,1128.034466,Chickpea
29,75,75,19.62416326,18.71483156,7.064790365,1061.50283,Chickpea
44,59,78,20.67526473,19.85388984,7.599033472,1017.401281,Chickpea
41,69,82,20.02381489,16.63294455,6.715587232,827.736785,Chickpea
52,56,85,20.1187446,14.44228303,6.81712422,1064.180237,Chickpea
34,76,80,20.65691793,15.84572566,7.985417393,782.8573372,Chickpea
42,74,83,19.2582557,14.2804191,7.545258424,789.3650438,Chickpea
34,71,79,17.927806,15.85622899,7.728998197,895.6647314,Chickpea
27,73,79,19.16288268,15.83500655,7.354973451,992.3720195,Chickpea
30,70,79,20.26942271,19.96978871,7.313122235,835.7339018,Chickpea
57,57,75,17.09104223,18.25142068,7.785039076,1047.293384,Chickpea
27,79,82,17.06579293,17.54024066,6.307004923,850.4580692,Chickpea
32,71,85,20.62767492,14.44008871,6.403982316,1104.795637,Chickpea
31,76,82,20.8248451,17.85057083,7.599279991,950.4611054,Chickpea
33,75,84,19.46210401,18.72831993,7.217018459,825.7686179,Chickpea
47,80,77,17.18248372,16.42891834,7.561108006,874.2020813,Chickpea
54,62,80,17.48911699,16.39055394,7.489545074,953.491,Chickpea
47,79,78,17.48395377,14.76014523,6.609696734,781.3638757,Chickpea
35,57,83,19.48316794,17.44534641,7.476800943,965.9835492,Chickpea
53,73,77,19.71359733,18.09665739,7.325451279,883.7371842,Chickpea
45,61,78,19.48649305,16.06240074,6.489389282,978.3411228,Chickpea
37,78,79,19.95264829,14.82633099,7.786366322,1064.172373,Chickpea
30,75,81,19.41789736,16.80472243,6.408437886,821.9414268,Chickpea
37,55,82,19.45591848,18.02235902,8.423873703,941.3892677,Chickpea
53,65,76,20.19137759,16.41998269,8.719960893,928.0554427,Chickpea
22,60,85,18.8392908,14.74071856,7.811997977,1137.382751,Chickpea
60,61,78,20.71219282,19.83643308,6.317153205,1128.439184,Chickpea
42,67,77,18.99424448,15.9362937,7.114405288,944.3648639,Chickpea
39,76,76,19.96837462,15.57324389,8.135900726,829.8910874,Chickpea
35,63,76,17.81564548,17.60756635,7.714153038,1089.851712,Chickpea
30,65,82,20.71424384,15.27824066,7.103798069,921.3466406,Chickpea
57,56,78,17.34150229,18.75626255,8.861479668,815.454522,Chickpea
48,65,78,17.43732714,14.33847406,7.861128148,877.1120448,Chickpea
36,56,83,18.89780215,19.76182946,7.4526709,829.1414972,Chickpea
40,58,75,18.59190771,14.77959596,7.168096055,1075.317894,Chickpea
49,69,82,18.31561493,15.36143547,7.26311855,981.4452556,Chickpea
13,60,25,17.13692774,20.59541693,5.68597166,1539.082344,Kidneybeans
25,70,16,19.63474332,18.90705639,5.759237003,1276.31782,Kidneybeans
31,55,22,22.91350245,21.33953114,5.873171894,1310.706672,Kidneybeans
40,64,16,16.43340342,24.24045875,5.926676985,1684.461378,Kidneybeans
2,61,20,22.13974653,23.02251117,5.95561668,919.695391,Kidneybeans
26,65,22,17.84806561,18.77621951,5.949949081,1717.181005,Kidneybeans
17,57,21,19.88394011,20.31564139,5.789214289,731.036975,Kidneybeans
26,80,18,19.32509638,23.3334788,5.581021521,1257.340736,Kidneybeans
17,59,17,18.4167001,23.42829938,5.689858133,1595.761265,Kidneybeans
27,59,22,21.81167649,23.20591245,5.794158504,1560.729712,Kidneybeans
28,58,24,19.72702528,18.28173015,5.748190463,1725.157073,Kidneybeans
25,57,19,17.15432954,19.87070659,5.566522896,1055.960368,Kidneybeans
28,80,17,19.62207826,18.67170854,5.809419584,1729.880945,Kidneybeans
25,60,22,21.63149148,21.17919701,5.887263027,1612.379938,Kidneybeans
12,78,23,16.06522754,18.72479695,5.99812453,1056.796653,Kidneybeans
6,77,25,20.61162204,24.36314135,5.792744849,835.6600626,Kidneybeans
22,79,17,21.42451099,20.39659714,5.912289889,1398.248308,Kidneybeans
27,80,15,19.07096165,21.21092266,5.788386951,1034.630109,Kidneybeans
10,55,23,21.18853178,19.63438599,5.728233081,1646.33836,Kidneybeans
23,65,20,23.0429097,22.42610972,5.833940084,1300.421179,Kidneybeans
19,78,16,20.65375833,23.10538637,5.967533236,812.6122736,Kidneybeans
19,65,25,18.09551014,18.29318436,5.625096446,1737.482788,Kidneybeans
22,70,19,18.23775702,21.07643273,5.515615023,833.3941902,Kidneybeans
37,64,22,17.48189735,18.8251973,5.954665349,1463.281643,Kidneybeans
11,71,17,19.9191786,21.47324158,5.74644777,992.2265255,Kidneybeans
18,79,20,20.27514686,23.2353604,5.877347515,1677.025852,Kidneybeans
21,63,17,15.77370214,19.2303162,5.979973965,1300.129697,Kidneybeans
24,80,22,16.71170642,19.17651433,5.635993966,1161.274298,Kidneybeans
34,60,22,17.66148158,18.15302753,5.635231778,1208.054113,Kidneybeans
16,75,21,18.50692825,23.61670065,5.679224346,1044.615947,Kidneybeans
17,77,23,24.51324787,20.81527638,5.670062975,770.3397536,Kidneybeans
37,72,18,18.87614998,24.54038287,5.724242065,1264.944617,Kidneybeans
40,73,20,21.59343016,20.31871249,5.811314232,733.6646443,Kidneybeans
9,77,17,20.12373284,24.45202552,5.783425416,1273.898412,Kidneybeans
1,62,23,15.43546065,18.37477907,5.607808432,1668.362441,Kidneybeans
33,59,22,22.64236876,21.59396123,5.946999529,1468.663218,Kidneybeans
23,59,19,21.98560799,24.87304788,5.852046999,1554.780721,Kidneybeans
6,62,22,20.53052663,18.09224048,5.824090984,1445.411146,Kidneybeans
25,63,20,15.78601387,21.14544088,5.502999119,1142.043375,Kidneybeans
7,79,23,19.6365349,19.68751084,5.821649914,1159.906672,Kidneybeans
8,72,17,20.57341244,19.7520218,5.711439256,1054.544299,Kidneybeans
27,64,15,20.16080524,24.84207559,5.514927264,1658.834546,Kidneybeans
28,66,23,21.53989176,24.25386207,5.99616119,1448.295646,Kidneybeans
32,57,18,15.53834801,23.75560241,5.695422863,1288.620712,Kidneybeans
27,56,22,19.91853092,20.70099804,5.833010958,1303.721453,Kidneybeans
17,77,24,20.76952209,18.93146941,5.568456899,1308.232454,Kidneybeans
0,65,15,23.46168338,23.22197648,5.645435626,1150.110413,Kidneybeans
13,72,21,24.32116642,21.0278674,5.821194486,723.3063034,Kidneybeans
34,60,23,20.12574053,24.96969858,5.659254981,1200.59662,Kidneybeans
9,80,19,21.80619564,18.57086554,5.945465949,1501.167224,Kidneybeans
11,72,20,19.52226241,24.92607153,5.951177452,1360.008312,Kidneybeans
3,67,24,17.00067625,19.90790546,5.520880014,1239.511688,Kidneybeans
35,69,23,16.78791503,24.96881755,5.578410206,905.4393647,Kidneybeans
3,77,25,24.84906168,22.89464642,5.608165195,746.5550623,Kidneybeans
23,62,19,16.51783455,20.4555596,5.609435128,1185.335307,Kidneybeans
22,71,17,18.15300153,19.38602098,5.509295379,1292.289557,Kidneybeans
31,79,25,23.18864385,22.3104551,5.902033406,760.5850586,Kidneybeans
34,59,18,23.38002569,21.98879437,5.744117663,1052.02784,Kidneybeans
12,63,17,18.358923,19.37703396,5.717143397,1660.977168,Kidneybeans
27,56,20,19.25975367,20.51346956,5.542690119,1139.440231,Kidneybeans
7,63,24,22.95458237,24.03553105,5.858617867,1292.778463,Kidneybeans
24,67,22,20.120043,22.89845607,5.618844277,1255.502584,Kidneybeans
11,71,24,21.14011423,22.7182355,5.606620346,1699.268066,Kidneybeans
37,74,15,24.92360104,18.22590825,5.582178402,752.5070028,Kidneybeans
25,76,24,15.33042636,24.91506728,5.56503533,1623.9787,Kidneybeans
34,66,17,18.81097271,21.27833035,5.889614577,1501.01898,Kidneybeans
20,69,15,23.44260668,22.77255917,5.934136378,1288.964695,Kidneybeans
37,65,16,22.8352024,18.97267518,5.683548308,763.1132008,Kidneybeans
18,74,15,24.9035819,22.27512704,5.70836603,1757.672684,Kidneybeans
4,67,25,23.78709569,24.35679348,5.948164454,1435.685294,Kidneybeans
37,56,25,22.05592283,19.60379304,5.774755144,1520.718446,Kidneybeans
5,59,15,18.87492997,20.18238348,5.97229163,1610.174062,Kidneybeans
11,61,21,18.62328774,23.02410338,5.532100554,1624.05364,Kidneybeans
22,80,20,23.00884744,18.86880997,5.669560726,1201.423344,Kidneybeans
12,61,19,19.33162606,24.13995025,5.655726817,822.1504112,Kidneybeans
5,74,21,16.24469193,21.35793891,5.591704014,803.6463908,Kidneybeans
27,69,22,17.91652287,24.90814655,5.932323085,829.7617226,Kidneybeans
31,75,18,15.46789263,21.43780702,5.824208309,1066.655532,Kidneybeans
36,68,20,17.06104474,23.77201471,5.86442953,982.0104626,Kidneybeans
5,65,16,21.32776028,18.48522915,5.866744372,1309.215913,Kidneybeans
32,79,15,23.90910104,20.74619325,5.706198621,979.2253492,Kidneybeans
11,78,22,23.89756791,22.74378977,5.940546818,1351.939722,Kidneybeans
0,55,22,22.98666928,20.57940608,5.916779289,1726.301926,Kidneybeans
14,59,15,21.35135729,22.91244883,5.779090476,1757.458374,Kidneybeans
29,68,23,24.1638445,19.27907819,5.82738029,1400.789189,Kidneybeans
32,68,19,24.62835037,18.18325169,5.514234138,1796.929234,Kidneybeans
17,64,17,21.02213209,24.93896255,5.662699104,1495.342165,Kidneybeans
13,69,19,17.30844532,20.01730914,5.86390397,1382.39094,Kidneybeans
14,67,22,23.82576704,24.75485098,5.624690248,1015.697236,Kidneybeans
9,69,20,19.30607278,23.96362799,5.591560999,1552.139191,Kidneybeans
20,73,22,16.03768615,22.33195853,5.976312538,1564.680958,Kidneybeans
40,78,20,19.18572809,20.83398341,5.669236258,961.8352122,Kidneybeans
27,72,23,19.92889503,21.79992115,5.961934481,768.3168956,Kidneybeans
14,67,15,19.56376468,24.67385131,5.690065688,1671.505205,Kidneybeans
7,56,18,18.31357543,24.32991649,5.698371311,913.6984685,Kidneybeans
27,65,18,20.10993761,23.22323766,5.59503163,880.3663772,Kidneybeans
30,63,16,23.60506572,21.90539577,5.525904526,1207.174474,Kidneybeans
37,70,25,19.73136909,24.89487354,5.819403771,1008.762494,Kidneybeans
27,63,19,20.93409877,21.1893007,5.562201934,1598.297303,Kidneybeans
22,60,24,18.78226261,20.24768314,5.630664753,1251.084868,Kidneybeans
3,72,24,36.51268371,57.92887167,6.03160778,1471.847633,Pigeonpeas
40,59,23,36.89163721,62.73178224,5.269084669,1964.719861,Pigeonpeas
33,73,23,29.23540524,59.38967583,5.985792703,1239.962164,Pigeonpeas
27,57,24,27.33534897,43.35795962,6.09186275,1707.964412,Pigeonpeas
10,79,18,21.0643684,55.46985938,5.624731338,2215.472051,Pigeonpeas
30,75,25,30.33276599,42.35249879,6.446091759,1791.599424,Pigeonpeas
40,70,20,31.80130272,45.03186173,5.623490043,1764.43373,Pigeonpeas
38,55,19,33.18184225,38.23184742,5.864623352,2385.958567,Pigeonpeas
35,58,20,29.38538562,63.47742011,5.761702519,1080.65072,Pigeonpeas
38,61,21,30.27374995,67.38680755,4.696518678,1533.320561,Pigeonpeas
33,58,24,35.45790488,68.75810535,5.269504214,1303.599655,Pigeonpeas
16,56,17,33.80020039,40.03262418,7.445444883,2119.399073,Pigeonpeas
31,72,17,28.69180475,49.47225353,5.833031708,1156.346748,Pigeonpeas
16,80,20,31.24021696,56.67369054,7.339320929,1464.17608,Pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,1448.922797,Pigeonpeas
40,62,19,27.32198928,34.13737127,4.697750704,1158.182883,Pigeonpeas
18,58,16,21.47607807,38.80023714,4.962661422,2164.586808,Pigeonpeas
3,68,16,18.31910448,34.69776639,4.964887857,1289.665926,Pigeonpeas
26,67,24,36.97794384,37.73992903,5.642813116,1937.775556,Pigeonpeas
